Season,Lg,Tm,Unnamed: 3,Age,Ht.,Wt.,Unnamed: 7,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1962-63,NBA,DET,,-4.2%,0.6%,4.0%,,80,,1.8%,-2.1%,+.017,,,,1.8%,-2.1%,+.017,-10.7%,-9.2%,-.012,,,-8.7%,0.5%,,,,6.9%,-1.3%
1961-62,NBA,DET,,0.8%,0.3%,0.5%,,80,,-0.3%,0.1%,-.002,,,,-0.3%,0.1%,-.002,-4.9%,-3.0%,-.014,,,0.2%,-7.7%,,,,-5.4%,-1.5%
1960-61,NBA,DET,,-4.8%,0.3%,2.0%,,79,,10.6%,5.5%,+.019,,,,10.6%,5.5%,+.019,16.0%,13.8%,+.014,,,5.9%,26.8%,,,,8.8%,12.0%
1959-60,NBA,DET,,-1.5%,-0.3%,0.5%,,75,,11.9%,8.4%,+.012,,,,11.9%,8.4%,+.012,6.8%,8.4%,-.011,,,13.0%,11.8%,,,,5.4%,10.6%
1958-59,NBA,DET,,-3.2%,0.5%,-1.0%,,72,,2.4%,0.1%,+.008,,,,2.4%,0.1%,+.008,-7.2%,-5.3%,-.015,,,-6.0%,4.2%,,,,4.1%,-0.3%
1957-58,NBA,DET,,6.8%,-0.1%,1.5%,,72,,8.5%,10.3%,-.007,,,,8.5%,10.3%,-.007,11.7%,10.5%,+.008,,,20.5%,-9.6%,,,,10.0%,9.3%
1956-57,NBA,FTW,,-1.8%,0.1%,-2.5%,,72,,5.7%,7.1%,-.005,,,,5.7%,7.1%,-.005,-6.4%,-8.0%,+.013,,,7.9%,-20.2%,,,,-8.2%,2.1%
1955-56,NBA,FTW,,-1.1%,0.7%,2.6%,,72,,2.7%,3.2%,-.002,,,,2.7%,3.2%,-.002,0.8%,0.7%,+.001,,,3.9%,0.9%,,,,2.1%,2.1%
1954-55,NBA,FTW,,2.6%,0.3%,-1.0%,,72,,19.5%,15.3%,+.014,,,,19.5%,15.3%,+.014,17.6%,17.1%,+.003,,,1.1%,17.8%,,,,5.0%,18.9%
1953-54,NBA,FTW,,2.7%,-0.8%,-3.0%,,72,,4.1%,-0.8%,+.018,,,,4.1%,-0.8%,+.018,-8.2%,-7.1%,-.009,,,6.7%,2.5%,,,,-21.2%,0.0%
1952-53,NBA,FTW,,-1.9%,0.9%,2.0%,,69,,5.9%,4.3%,+.005,,,,5.9%,4.3%,+.005,14.3%,13.5%,+.005,,,-2.0%,2.5%,,,,21.0%,8.5%
1951-52,NBA,FTW,,,,,,66,,-11.5%,-15.4%,+.016,,,,-11.5%,-15.4%,+.016,-6.3%,-8.1%,+.014,,,-2.8%,22.9%,,,,-10.7%,-10.0%
1950-51,NBA,FTW,,,,,,68,,6.6%,0.4%,+.020,,,,6.6%,0.4%,+.020,5.1%,2.4%,+.019,,,,-16.3%,,,,-5.0%,6.2%
1949-50,NBA,FTW,,,,,,68,,22.3%,9.9%,+.032,,,,22.3%,9.9%,+.032,18.0%,17.8%,+.001,,,,26.1%,,,,19.9%,20.9%
1948-49,BAA,FTW,,,,,,60,,,,,,,,,,,,,,,,,,,,,,
